431125746203901952	@cynthialoyst was there ever anything remarkable about sochi? they have stray dogs they are killing and poor people under the new highway.	1
431125712871768064	rt @sherryvanstone: how is anyone ok with sochi hosting? stray dog cull: \"these dogs are biological trash.\" @torontostar http://t.co/kgz2is…	1
431125682656378880	we agree with dogster... not okay. http://t.co/p3k6pxvgcn	1
431125679242215424	rt @ninatypewriter: readying for #sochiolympics, animal advocates say authorities poison stray dogs in sochi, @ivancnn reports http://t.co/…	1
431125673923452928	thousands of stray dogs to be exterminated in sochi http://t.co/hs2y79eakh	1
431125650993201152	rt @mugglefacemike: just read that they're killing all the stray dogs in sochi before the olympics and a wave of sadness fell over me.	1
431125628310396928	rt @avmavets: uproar over fate of stray dogs being rounded up in sochi in advance of this year’s olympic games http://t.co/5zrkxy9vum	1
431125568126320641	sochi dogs safe, ioc say the healthy ones won't be killed @smusportmgt  http://t.co/elf8bmjwg8	1
431125565555232768	video: rescuers mobilize as sochi tries to kill stray dogs http://t.co/lbxtrgofbx	1
431125555656654850	rt @mattgutmanabc: one of the stray dogs that #sochi officials have tried to cull ahead of the #olympics. this one so docile http://t.co/yq…	1
431125494465953792	sign this petition to vladimir putin to ask him to stop the killing of stray dogs in sochi. http://t.co/uw3qjyspco	1
431125487101165568	rt @youranonnews: rescuers mobilize as #sochi tries to kill off stray dogs before #olympics begin http://t.co/8w0ysbrfwv | http://t.co/0avy…	1
431125480990048257	rt @scsver: thousands of stray dogs to be exterminated in sochi http://t.co/xawvta1mwo	1
431125464938078208	russia: stray killed ahead of winter olympics http://t.co/tpzdsr767w so disgusting &amp; heartbreaking!! designated place in hell for these ppl!	1
431125464568958976	thousands of stray dogs to be exterminated in sochi http://t.co/vkqes3656g	1
431125460622520320	rt @sergioortolano: urgent: stop the slaughter of thousands of dogs in sochi: http://t.co/i0in4vwcf3 via @care2	1
431125444083986432	this has started up again! russians culling stray dogs in sochi before winter olympics http://t.co/qj3noi2tm6 via @mailonline	1
431125399137828864	rt @globeandmail: dog lovers, avert your eyes: what's happening to all the stray dogs in sochi? http://t.co/qjphknfl6x  http://t.co/f6snvuo…	1
431125362290880512	@stanleigh77 @alwaysthinkhow consider trying to rescue a dog or two.  they're trying to kill all of the stray #dogs in #sochi	1
431125361154220033	absolutely disgusting that stray dogs are being poisoned in sochi. there are all these solutions for humans, but not the animals? #po103	1
431125355932291072	urgent: stop the slaughter of thousands of dogs in sochi: http://t.co/jbdwgq3h0t via @care2	1
431125350194503680	stop the slaughter of homeless dogs in sochi! #sochi2014 http://t.co/4vsdnlolat via @animalsaus	1
431125349036859394	bravo sochi, bravo.  what a mess at those facilities!  missing manholes, fake electrical outlets, mass killing of stray dogs, dirty water...	1
431125291855917056	rt @pink: “@huffingtonpost: the gruesome thing sochi is doing to prepare for the winter olympics http://t.co/ivo8ztpn6w”	1
431125281143668736	stop the slaughter of homeless dogs in sochi! #sochi2014 http://t.co/ycvworny1i via @animalsaus	1
431125267365789696	@msnbc @bshactman boycott sochi, they're killing dogs and cats over there.	1
431125261820497921	\"animal activists\" think it's okay to kill dogs but only if you do it one at a time: http://t.co/bbadfxmosp eu &amp; us euthanize dogs regularly	1
431125260063490049	rt @tymlee: killing stray dogs through agonizingly slow death from poisoning in sochi is enough reason to boycott the games for me. it hurt…	1
431125255512272896	stray dogs are being 'rounded up and slaughtered in sochi' http://t.co/ntgy5wbdyw via @theworldpost   boycott  !! nomoney4russia	1
431125250982436864	ioc: no healthy stray dogs being killed in sochi: sochi, russia (ap) — a campaign to kill stray dogs is puttin... http://t.co/ryq6aahide	1
431125244560953345	deadspin: the dogs of sochi. http://t.co/qt2je3mzmm i want one!	1
431125234704744450	@thehaidlspeaks recent articles dated this week stated the continued killings of stray dogs in the sochi area.	1
431125212663255040	report: company hired to 'dispose' of stray dogs in sochi http://t.co/k58dk01d7i via @yahoosports this is disgusting 	1
431125161094303745	rt @mkupperman: when you're in sochi, be sure to visit the pile of dead dogs	1
431125120573112322	thousands of #stray #dogs to be slaughtered ahead of #sochi2014: http://t.co/fkdipppqgx #olympics #animalrights http://t.co/rbtvef1ze5	1
431125106090196992	rt @fs1otoole: me in russia. russia nice. dogs no bite. #sochi	1
431125105586892800	russians say authorities rounding up, poisoning stray dogs before olympics: sochi, russia — the olympic city has... http://t.co/owzapw3ksq	1
431125085399683072	thousands of stray dogs to be exterminated in sochi http://t.co/dwseknpyqg	1
431125076696522752	stop the killing of thousands of stray dogs and cats in #sochi! sign here http://t.co/emnpvspjib via @care2 #olympics	1
431125075559845888	rt @scsver: thousands of stray dogs to be exterminated in sochi http://t.co/xawvta1mwo	1
431125058468454400	rt @amyrosekathryn: save homeless dogs from being killed in sochi! http://t.co/53neunbsso http://t.co/bzpoiqqr39	1
